molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
SA_ASPA_000014.mol,SAF,0,0,0,0,0,2,0,0,236.353,1.991,481.242,387.333,69,24.91,0,855.935,1,3.7,0.0046334,0.0076884,0.9059313,27.054,7.288,11.749,6.184,2.67,-3.441,-2.635,-3.173,2195.721,-0.118,1157.589,-2.511,10.091,-0.587,4,0.177,3,100,0,0,44.657,2,0,10,0,10,8,17,0,0.264
SA_ASPA_000016.mol,SAF,3,0,0,0,0,16,1,-2,324.503,4.036,823.071,690.527,90.019,42.525,0,1383.812,1,3.7,0.0117705,0.0044954,0.7296466,39.359,12.706,15.261,4.181,5.847,-7.32,-4.322,-6.109,1387.546,-1.528,704.86,-1.493,9.166,0.009,3,0.976,1,100,0,0,56.916,3,1,0,0,0,0,23,1,0
SA_ASPA_000017.mol,SAF,0,0,0,0,0,6,0,-2,316.31,4.584,547.554,185.794,179.258,182.502,0,953.029,2,4.75,0.0220518,0.0122682,0.8553469,29.877,10.073,15.546,9.782,2.117,-3.553,-4.525,-4.743,197.697,-1.432,85.785,-3.604,8.741,0.353,6,0.022,3,80.434,0,0,105.118,6,0,16,0,16,2,23,0,0.022
SA_ASPA_000017.mol,SAF,0,0,0,0,0,6,0,-2,316.31,4.477,549.342,169.411,186.463,193.468,0,954.192,2,4.75,0.0210095,0.0122283,0.8532558,30.028,10.204,15.631,9.91,2.086,-3.582,-4.525,-4.829,168.915,-1.506,72.369,-3.698,8.826,0.259,6,0.023,3,79.029,0,0,106.24,6,0,16,0,16,2,23,0,0.017
SA_ASPA_000017.mol,SAF,0,0,0,0,0,6,0,-2,316.31,4.84,546.454,185.82,178.77,181.864,0,950.955,2,4.75,0.0246303,0.0122929,0.8558242,29.787,10.046,15.547,9.772,2.107,-3.534,-4.525,-4.732,199.812,-1.425,86.777,-3.598,8.747,0.294,6,0.017,3,80.46,0,0,104.614,6,0,16,0,16,2,23,0,0.023
SA_ASPA_000018.mol,SAF,0,0,0,0,0,6,0,-2,316.31,5.205,530.937,171.544,171.005,188.388,0,939.962,2,4.75,0.0288188,0.0126522,0.8740356,29.41,10.009,15.498,9.726,2.113,-3.276,-4.525,-4.469,236.735,-1.29,104.232,-3.431,8.733,0.423,6,0.001,3,81.811,0,0,104.65,6,0,16,0,16,2,23,0,0.062
SA_ASPA_000018.mol,SAF,0,0,0,0,0,6,0,-2,316.31,4.083,550.759,164.566,186.799,199.395,0,953.412,2,4.75,0.0174834,0.0121968,0.8505967,30.053,10.231,15.595,9.956,2.084,-3.606,-4.525,-4.9,167.681,-1.519,71.798,-3.684,8.829,0.252,6,0.02,3,78.961,0,0,106.268,6,0,16,0,16,2,23,0,0.016
SA_ASPA_000018.mol,SAF,0,0,0,0,0,6,0,-2,316.31,4.629,526.18,169.992,169.871,186.317,0,935.936,2,4.75,0.0228961,0.0127666,0.8794172,29.229,9.974,15.359,9.693,2.097,-3.197,-4.525,-4.372,242.667,-1.262,107.058,-3.418,8.665,0.323,6,-0.006,3,81.911,0,0,104.17,6,0,16,0,16,2,23,0,0.077
SA_ASPA_00023.mol,SAF,0,0,0,0,0,3,1,0,190.198,6.457,407.39,86.7,128.613,192.077,0,655.461,1,4.2,0.0635987,0.0103095,0.8957479,19.986,6.806,10.82,7.821,1.018,-1.879,-2.099,-4.135,597.4,-0.686,283.478,-2.925,9.525,1.036,2,-0.468,3,82.597,0,0,63.819,3,0,10,0,10,0,14,0,2.988
SA_ASPA_00028.mol,SAF,5,0,0,0,0,10,3,-2,620.692,7.675,874.266,483.905,302.303,88.058,0,1718.209,6,16.2,0.0342863,0.0453886,0.793546,57.029,18.242,37.57,27.017,0.84,-4.802,-5.515,-5.293,13.464,-3.24,4.701,-5.821,9.459,0.48,9,-0.292,2,13.199,0,0,203.263,12,3,29,0,29,20,44,2,0
SA_ASPH_00005.mol,SAF,2,0,0,0,0,4,0,-2,478.5,7.168,666.258,173.091,201.72,291.447,0,1317.287,0,3,0.0390083,0,0.8722534,46.779,13.9,18.395,6.75,5.373,-6.621,-9.392,-4.989,121.056,-1.445,50.485,-3.826,9.046,0.603,12,1.47,1,82.73,0,0,127.484,6,1,28,0,28,2,36,2,0
SA_ASPH_00005.mol,SAF,2,0,0,0,0,4,0,-2,478.5,6.502,664.694,156.665,201.159,306.87,0,1308.133,0,3,0.0323203,0,0.8702508,46.56,13.925,18.237,6.847,5.335,-6.591,-9.392,-5.095,122.548,-1.448,51.158,-3.762,9.045,0.609,12,1.443,1,82.604,0,0,127.359,6,1,28,0,28,2,36,2,0
SA_ASPH_00006.mol,SAF,0,0,0,0,0,1,0,0,228.204,1.349,412.549,85.713,129.698,197.139,0,690.432,0,4.25,0.0026346,0,0.915735,22.718,7.155,9.644,6.901,1.063,-1.53,-2.727,-3.836,583.41,-0.528,276.309,-3.119,9.472,1.148,3,-0.557,3,82.675,0,0,83.826,4,0,13,0,13,0,17,0,3.909
SA_ASPH_00007.mol,SAF,0,0,0,0,0,2,0,-1,244.203,2.847,421.649,85.702,166.992,168.955,0,709.508,0,4,0.011426,0,0.9124017,22.57,7.383,9.679,6.518,1.018,-1.787,-3.183,-3.755,258.415,-0.894,114.587,-3.81,9.047,1.138,4,-0.477,3,76.082,0,0,102.829,5,0,13,0,13,0,18,0,0.617
SA_ASPH_00009.mol,SAF,0,0,0,0,0,2,0,0,258.23,2.664,454.996,178.293,124.384,152.318,0,772.684,0,5,0.0091832,0,0.8950051,24.939,7.464,10.75,7.18,1.219,-1.952,-3.017,-3.957,655.185,-0.592,313.228,-3.083,8.98,1.084,4,-0.561,3,84.488,0,0,88.677,5,0,13,0,13,0,19,0,2.71
SA_BURS_00001.mol,SAF,3,0,0,0,0,18,2,-2,390.516,2.118,823.013,643.257,179.756,0,0,1440.997,3,10.5,0.0031117,0.0220975,0.7496643,39.957,13.893,22.363,13.688,2.419,-4.389,-3.061,-5.583,195.556,-2.654,84.781,-3.104,10.654,-0.897,3,-0.368,1,82.119,0,0,120.789,7,0,5,0,5,4,27,0,0.013
SA_BURS_00001.mol,SAF,4,0,0,0,0,18,2,-2,390.516,7.455,846.287,654.691,191.596,0,0,1450.784,3,10.5,0.0383128,0.0214898,0.7323452,40.349,14.22,22.947,13.825,2.374,-4.769,-3.061,-5.863,151.007,-2.903,64.113,-3.322,10.695,-1.113,3,-0.366,1,79.846,0,0,121.458,7,0,5,0,5,4,27,0,0.003
SA_BURS_00002.mol,SAF,3,0,0,0,0,18,1,-2,348.479,4.083,767.399,577.637,189.762,0,0,1318.227,4,10.2,0.0126465,0.0265833,0.7576541,35.044,12.938,22.127,14.791,1.594,-3.539,-2.395,-5.453,157.177,-2.725,66.949,-3.289,10.635,-2.087,4,-0.634,1,75.591,0,0,104.349,6,0,5,0,5,4,24,0,0.052
SA_BURS_00002.mol,SAF,3,0,0,0,0,18,1,-2,348.479,4.817,735.071,553.229,181.841,0,0,1293.346,4,10.2,0.0179403,0.0277524,0.7809907,34.048,12.53,21.918,14.66,1.538,-3.043,-2.395,-5.076,186.853,-2.509,80.71,-3.143,10.887,-1.98,4,-0.656,1,76.609,0,0,103.718,6,0,5,0,5,4,24,0,0.227
SA_BURS_00003.mol,SAF,3,0,0,0,0,13,0,-2,216.363,0.336,577.507,485,92.507,0,0,956.139,2,3.4,0.0001178,0.008326,0.8127465,23.763,8.08,11.273,5.149,3.006,-3.293,-2.224,-4.562,1314.197,-1.154,664.673,-1.976,10.849,-2.709,2,-0.076,3,100,0,0,43.577,2,0,0,0,0,0,15,0,1.163
SA_BURS_00003.mol,SAF,2,0,0,0,0,13,0,-2,216.363,2.747,581.079,493.21,87.869,0,0,960.469,2,3.4,0.0078547,0.0082748,0.8101873,23.937,8.087,11.408,5.126,3.065,-3.356,-2.224,-4.603,1454.247,-1.112,741.554,-1.891,10.806,-2.808,2,-0.066,3,100,0,0,43.341,2,0,0,0,0,0,15,0,1.226
SA_CLUS_00002.mol,SAF,6,0,0,0,0,10,1,-2,652.539,10.034,815.807,2.683,490.147,307.673,15.304,1592.554,5.8,13.25,0.0632209,0.0391149,0.8084263,54.097,19.991,36.441,26.455,0.254,-4.758,-8.578,-6.099,0.223,-5.002,0.068,-8.509,9.093,1.283,9,-0.103,1,0,0,0,270.078,15,3,32,0,32,2,46,2,0
SA_CLUS_00002.mol,SAF,6,0,0,0,0,10,1,-2,652.539,6.16,856.715,0.104,499.898,328.401,28.311,1643.717,5.8,13.25,0.0230871,0.0372472,0.7862249,56.343,20.891,36.73,26.765,0.512,-5.404,-8.578,-6.557,0.18,-5.361,0.063,-8.616,8.882,1.209,9,-0.036,1,0,0,0,271.24,15,3,32,0,32,2,46,2,0
SA_CLUS_00002.mol,SAF,6,0,0,0,0,10,1,-2,652.539,10.381,863.99,6.215,493.389,359.609,4.777,1640.228,5.8,13.25,0.0656959,0.0369335,0.7785007,56.501,20.929,37.228,26.942,0.467,-5.408,-8.578,-6.831,0.208,-5.455,0.055,-8.386,9.213,1.265,9,-0.059,1,0,0,0,271.223,15,3,32,0,32,2,46,2,0
SA_CLUS_00002.mol,SAF,6,0,0,0,0,10,1,-2,652.539,6.324,849.182,0.563,491.682,331.878,25.059,1635.852,5.8,13.25,0.0244486,0.0375776,0.7906669,56.061,20.732,36.62,26.713,0.523,-5.28,-8.578,-6.502,0.215,-5.221,0.074,-8.452,8.953,1.24,9,-0.044,1,0,0,0,271.233,15,3,32,0,32,2,46,2,0
SA_DICH_00001.mol,SAF,8,1,0,1,0,2,0,-1,103.121,3.159,297.682,185.845,111.836,0,0,437.99,2,3.5,0.0227912,0.0166277,0.9369631,10.09,3.601,7.586,7.132,-2.18,0.01,0.643,-1.471,54.432,-0.008,29.942,-5.451,9.6,-1.13,2,-0.941,2,45.249,0,0,61.882,3,0,0,0,0,0,7,0,0.361
SA_DICH_00003.mol,SAF,3,2,0,2,0,9,0,-2,204.225,2.822,446.954,150.982,295.972,0,0,720.882,6,6,0.0110496,0.0328825,0.8699187,16.917,8.254,17.53,15.52,-3.21,0.817,0.94,-1.474,0.062,-1.789,0.028,-10.235,9.752,-0.908,6,-1.281,1,0,0,0,147.381,6,1,0,0,0,0,14,1,0
