molecule,region,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
NA_APIA_00025.mol,NAF,1,0,0,1,0,17,1,-2,296.449,4.861,733.981,530.138,157.018,46.825,0,1234.711,2,3.7,0.0191345,0.0071291,0.7583278,32.791,11.748,14.943,5.696,4.749,-5.331,-3.673,-3.858,81.376,-2.281,41.799,-2.616,9.492,0.439,2,0.269,1,88.944,0,0,71.979,3,0,0,0,0,0,21,0,0.003
NA_APIA_00032.mol,NAF,17,0,0,0,0,28,4,-2,1107.291,7.505,1226.466,733.15,479.771,13.544,0,2782.942,15,39.1,0.0202385,0.1234716,0.7801518,87.37,29.69,74.154,60.332,-3.917,-0.746,-4.883,-5.154,0.279,-6.379,0.071,-7.626,9.335,-1.147,17,-2.367,1,0,0,0,358.1,23,3,46,0,46,40,77,2,0.005
NA_APIA_00032.mol,NAF,18,0,0,0,0,28,4,-2,1107.291,4.909,1258.325,759.424,484.931,13.971,0,2805.61,15,39.1,0.008588,0.1203454,0.7645227,88.281,30.225,74.231,60.447,-3.943,-1.037,-4.883,-5.409,0.25,-6.655,0.063,-7.719,9.383,-1.066,17,-2.437,1,0,0,0,357.074,23,3,46,0,46,40,77,2,0.002
NA_APIA_00033.mol,NAF,16,0,0,0,0,27,4,-2,1105.275,3.809,1226.4,740.409,472.528,13.462,0,2774.26,14,39.4,0.0052309,0.1202066,0.7785702,87.664,29.378,72.738,59.333,-3.914,-0.825,-4.824,-5.179,0.327,-6.261,0.085,-7.589,9.233,-0.73,16,-2.387,1,0,0,0,355.354,23,3,46,0,46,40,77,2,0.004
NA_APIA_00033.mol,NAF,17,0,0,0,0,27,4,-2,1105.275,4.472,1226.54,756.178,456.905,13.457,0,2774.294,14,39.4,0.0072098,0.1201928,0.7784876,87.665,29.27,72.688,59.227,-3.807,-0.827,-4.824,-5.18,0.46,-6.09,0.122,-7.301,9.126,-0.728,16,-2.388,1,0,0,0,358.791,23,3,46,0,46,40,77,2,0.008
NA_APIA_00034.mol,NAF,16,0,0,1,0,21,3,-2,959.133,4.784,1152.539,733.22,405.734,13.585,0,2499.221,12,30.9,0.0091573,0.0928739,0.7727625,80.51,26.461,62.434,48.724,-1.204,-2.924,-5.505,-3.466,0.356,-5.232,0.118,-6.933,9.326,-0.993,13,-1.634,1,0,0,0,298.962,19,3,40,0,40,35,67,2,0
NA_APIA_00034.mol,NAF,15,0,0,1,0,21,3,-2,959.133,7.673,1084.485,665.94,404.375,14.171,0,2428.824,12,30.9,0.0242396,0.0987019,0.8057594,77.699,25.389,61.837,48.555,-1.394,-2.217,-5.505,-2.935,0.367,-4.854,0.122,-6.906,9.652,-0.657,13,-1.586,1,0,0,0,300.416,19,3,40,0,40,35,67,2,0.001
NA_APIA_00036.mol,NAF,15,0,0,0,0,20,3,-2,943.133,4.249,1172.972,743.004,393.076,36.893,0,2513.205,11,29.65,0.0071836,0.0838365,0.7621305,81.935,26.614,60.714,46.37,-1.005,-3.627,-5.826,-5.557,1.855,-5.154,0.552,-6.714,9.737,-0.904,13,-1.263,1,0,0,0,271.841,18,3,42,0,42,36,66,2,0
NA_APIA_00036.mol,NAF,16,0,0,0,0,20,3,-2,943.133,5.127,1122.63,751.095,334.572,36.963,0,2456.783,11,29.65,0.0107011,0.087596,0.7843435,79.677,25.369,59.81,45.852,-0.802,-3.049,-5.826,-5.198,6.655,-4.268,2.195,-5.635,9.658,-0.969,13,-1.264,1,0,0,0,270.669,18,3,42,0,42,36,66,2,0.002
NA_APIA_00037.mol,NAF,17,0,0,0,0,26,2,-2,931.079,11.854,1219.241,731.714,461.295,26.232,0,2532.147,13,30.9,0.0554908,0.0913778,0.7368881,78.738,28.143,63.772,49.71,-2.241,-2.823,-4.995,-5.915,0.418,-6.667,0.11,-7.432,8.767,-0.133,16,-1.84,1,0,0,0,320.879,19,3,34,0,34,28,65,2,0
NA_APIA_00037.mol,NAF,18,0,0,0,0,26,2,-2,931.079,8.986,1250.434,756.834,467.612,25.988,0,2573.07,13,30.9,0.0313801,0.0890983,0.7262265,80.374,28.764,63.978,49.827,-2.119,-3.186,-4.995,-6.086,0.364,-6.915,0.095,-7.55,8.688,-0.21,16,-1.82,1,0,0,0,323.376,19,3,34,0,34,28,65,2,0
NA_APIA_00038.mol,NAF,18,0,0,0,0,32,3,-2,1093.221,9.365,1405.295,794.514,584.32,26.461,0,2941.781,16,39.4,0.029811,0.1121473,0.7065417,91.282,33.811,77.132,62.439,-4.537,-1.793,-4.514,-6.407,0.028,-9.169,0.006,-9.123,8.935,0.036,19,-2.833,1,0,0,0,398.729,24,3,40,0,40,33,76,2,0
NA_APIA_00038.mol,NAF,18,0,0,0,0,32,3,-2,1093.221,7.571,1392.837,831.283,533.082,28.472,0,2916.193,16,39.4,0.0196543,0.1131504,0.7087215,90.277,33.191,76.396,62.074,-4.303,-1.657,-4.514,-6.381,0.087,-8.441,0.02,-8.172,8.666,-0.24,19,-2.863,1,0,0,0,391.937,24,3,40,0,40,33,76,2,0
NA_APIA_00039.mol,NAF,1,0,0,0,0,6,2,0,418.572,3.952,709.045,604.509,58.425,46.111,0,1385.887,1,4.75,0.0112717,0.0066992,0.8478319,45.897,11.984,18.864,6.956,5.67,-6.458,-5.442,-4.214,2766.014,-0.34,1485.738,-1.858,9.513,-0.011,11,1.222,1,100,0,0,75.985,5,1,10,0,0,6,30,2,0.002
NA_APIA_00040.mol,NAF,1,0,0,0,0,6,2,0,418.572,4.611,710.841,616.838,56.169,37.833,0,1392.384,1,4.75,0.0152689,0.0066822,0.8483315,46.078,11.965,18.963,6.889,5.718,-6.49,-5.442,-4.167,2905.665,-0.318,1566.98,-1.845,9.416,0.014,11,1.24,1,100,0,0,72.39,5,1,10,0,0,6,30,2,0.002
NA_APIA_00041.mol,NAF,1,0,0,0,0,8,2,-1,436.587,6.888,700.356,577.454,94.063,28.839,0,1391.993,2,6.45,0.0340855,0.0130243,0.8608702,44.692,12.381,21.265,9.758,4.596,-5.308,-5,-3.921,1270.275,-0.765,640.695,-2.383,9.667,-0.315,9,0.789,3,100,0,0,97.254,6,0,10,0,0,7,31,1,0.009
NA_APIA_00041.mol,NAF,1,0,0,0,0,8,2,-1,436.587,4.425,710.231,582.481,98.991,28.758,0,1404.273,2,6.45,0.0139466,0.0128433,0.8538858,45.183,12.526,21.163,9.815,4.634,-5.477,-5,-4.033,1140.683,-0.824,570.346,-2.475,9.792,0.008,9,0.817,3,100,0,0,97.548,6,0,10,0,0,7,31,1,0.005
NA_APIA_00042.mol,NAF,1,0,0,0,0,8,2,-1,436.587,3.426,765.452,621.916,103.983,39.554,0,1474.036,2,6.45,0.0079624,0.0119167,0.8183125,48.078,13.326,22.013,10.055,5.026,-6.431,-5,-4.661,1022.897,-0.954,506.964,-2.528,9.857,0.158,9,0.979,1,100,0,0,99.22,6,1,10,0,0,7,31,2,0
NA_APIA_00043.mol,NAF,1,0,0,0,0,7,2,-1,422.561,7.049,679.481,548.049,101.908,29.524,0,1352.502,2,6.45,0.0367403,0.0134245,0.8704552,43.76,12.104,21.067,9.987,4.303,-5.115,-4.719,-3.769,1070.313,-0.755,532.412,-2.622,9.691,-0.015,9,0.734,3,100,0,0,98.376,6,0,10,0,0,7,30,1,0.008
NA_APIA_00044.mol,NAF,1,0,0,0,0,7,2,-1,434.572,7.126,699.887,562.573,99.436,37.878,0,1388.81,2,6.45,0.0365608,0.0130331,0.8601332,45.293,12.456,21.58,10.076,4.549,-5.463,-4.959,-3.976,1129.67,-0.754,564.397,-2.547,9.623,0.061,10,0.823,1,100,0,0,97.572,6,0,10,0,0,7,31,1,0.004
NA_APIA_00045.mol,NAF,0,0,0,0,0,4,3,-1,446.539,8.194,661.263,550.174,84.689,26.4,0,1338.372,0,9,0.0501708,0,0.8881959,45.091,11.399,20.256,10.049,3.088,-3.385,-4.098,-3.467,1558.804,-0.393,799.346,-2.603,9.938,0.022,8,-0.074,3,100,0,0,101.035,7,0,16,3,5,9,32,1,0.459
NA_APIA_00046.mol,NAF,0,0,0,0,0,10,1,-2,400.471,7.195,746.941,395.37,103.767,247.804,0,1330.717,1,6.2,0.0389018,0.0083005,0.7833143,43.047,13.393,19.139,9.274,4.598,-5.926,-5.655,-6.22,1027.737,-1.167,509.557,-1.599,9.089,1.128,7,0.573,3,100,0,0,83.076,6,0,13,0,13,0,29,2,0.012
NA_APIA_00047.mol,NAF,0,0,0,0,0,6,2,0,412.482,6.655,714.383,415.234,69.129,230.019,0,1321.344,0,5.25,0.0335191,0,0.8151636,45.07,12.608,17.881,7.321,5.15,-6.029,-6.282,-5.62,2189.502,-0.492,1154.046,-1.407,9.026,1.076,5,0.795,3,100,0,0,71.254,6,1,18,0,18,3,30,1,0.015
NA_APIA_00047.mol,NAF,1,0,0,0,0,6,2,0,412.482,8.212,739.771,420.815,71.2,247.757,0,1338.601,0,5.25,0.0503763,0,0.7940269,45.93,12.969,18.364,7.517,5.269,-6.51,-6.282,-6.046,2092.734,-0.551,1099.016,-1.383,9.069,1.114,5,0.845,1,100,0,0,70.575,6,1,18,0,18,3,30,1,0.005
NA_APIA_00048.mol,NAF,0,0,0,0,0,11,1,-2,388.416,8.48,619.164,225.49,140.956,252.719,0,1173.404,3,7.9,0.0612769,0.0220995,0.8689418,36.156,12.617,21.313,13.636,2.504,-3.027,-4.683,-4.858,456.266,-1.344,211.839,-2.171,9.112,1.185,6,-0.152,3,89.203,0,0,110.979,7,0,13,0,13,0,28,0,2.46
NA_APIA_00048.mol,NAF,0,0,0,0,0,11,1,-2,388.416,8.626,627.349,250.732,113.134,263.482,0,1180.249,3,7.9,0.06305,0.0218112,0.8609381,36.533,12.544,21.322,13.539,2.741,-3.154,-4.683,-5.039,837.627,-1.117,408.486,-1.62,9.228,1.251,6,-0.144,3,95.313,0,0,112.156,7,0,13,0,13,0,28,0,6.537
NA_APIA_00049.mol,NAF,0,0,0,0,0,9,1,0,372.417,8.168,590.096,282.665,63.218,244.213,0,1123.978,2,6.2,0.0593512,0.0148588,0.8859599,35.381,11.385,18.348,10.281,3.516,-3.37,-5.051,-4.542,2491.189,-0.516,1326.84,-0.96,9.028,1.083,7,0.115,3,100,0,0,95.672,6,0,13,0,13,0,27,1,17.407
NA_APIA_00049.mol,NAF,0,0,0,0,0,9,1,-2,372.417,6.664,658.098,290.347,136.593,231.158,0,1193.092,2,6.2,0.0372219,0.0133234,0.8266532,38.022,12.347,19.124,10.855,3.376,-4.505,-5.051,-5.439,501.867,-1.312,234.813,-2.359,8.984,1.043,7,0.249,3,95.048,0,0,95.842,6,0,13,0,13,0,27,1,0.051
NA_APIA_00052.mol,NAF,0,0,0,0,0,3,2,0,286.284,9.993,502.305,194.675,68.692,238.937,0,881.378,0,5.75,0.1132998,0,0.8850603,29.474,8.684,14.001,8.022,2.049,-2.237,-3.135,-4.531,2210.529,-0.202,1166.03,-1.656,9.125,1.131,2,-0.489,3,100,0,0,70.099,5,0,16,3,13,2,21,0,36.667
NA_APIA_00052.mol,NAF,0,0,0,0,0,3,2,0,286.284,9.993,502.305,194.675,68.692,238.937,0,881.378,0,5.75,0.1133012,0,0.8850602,29.474,8.684,14.001,8.022,2.049,-2.237,-3.135,-4.531,2210.526,-0.202,1166.028,-1.656,9.125,1.131,2,-0.489,3,100,0,0,70.099,5,0,16,3,13,2,21,0,36.666
NA_APIA_00053.mol,NAF,0,0,0,0,0,4,2,0,316.31,10.851,529.879,273.882,70.444,185.553,0,946.932,0,6.5,0.1243535,0,0.8801046,30.946,8.921,14.965,8.256,2.037,-2.204,-3.425,-4.357,2127.537,-0.284,1118.784,-1.78,9.074,1.173,3,-0.542,3,100,0,0,77.555,6,0,16,3,13,2,23,0,32.825
NA_APIA_00053.mol,NAF,0,0,0,0,0,4,2,0,316.31,10.846,529.66,273.709,70.383,185.567,0,946.821,0,6.5,0.1242374,0,0.8803997,30.942,8.921,14.963,8.255,2.037,-2.2,-3.425,-4.352,2130.374,-0.283,1120.397,-1.779,9.075,1.173,3,-0.542,3,100,0,0,77.579,6,0,16,3,13,2,23,0,33.23
NA_APIA_00054.mol,NAF,0,0,0,0,0,7,1,-2,334.325,9.516,561.342,247.468,137.327,176.546,0,1002.833,2,6.95,0.0903043,0.0175094,0.8631572,31.171,10.242,17.91,11.436,1.886,-3.023,-4.038,-4.588,493.882,-1.087,230.777,-2.756,8.896,1.061,5,-0.237,3,86.2,0,0,104.282,7,0,13,0,13,0,24,0,0.555
NA_APIA_00054.mol,NAF,0,0,0,0,0,7,1,-2,334.325,10.615,564.352,247.703,137.458,179.191,0,1005.657,2,6.95,0.1120514,0.0174161,0.8601647,31.309,10.278,18.252,11.462,1.903,-3.071,-4.038,-4.649,492.48,-1.097,230.069,-2.75,8.894,1.059,5,-0.233,3,86.274,0,0,104.199,7,0,13,0,13,0,24,0,0.506
NA_APIA_00058.mol,NAF,0,0,0,0,0,9,1,-2,342.345,9.482,567.692,297.374,236.618,33.701,0,1028.113,4,11,0.0874426,0.0387534,0.8677856,29.534,10.644,22.609,17.632,-0.433,-2.018,-2.389,-3.832,56.5,-2.074,22.155,-4.898,8.984,0.316,7,-0.78,2,55.767,0,0,145.35,8,0,12,0,12,5,24,1,0.042
NA_APIA_00058.mol,NAF,0,0,0,0,0,9,1,-2,342.345,7.61,581.255,302.125,240.484,38.646,0,1037.292,4,11,0.0558289,0.0378491,0.8525739,29.949,10.745,22.3,17.725,-0.434,-2.184,-2.389,-4.102,51.927,-2.185,20.223,-4.951,9.062,0.408,7,-0.793,2,55.104,0,0,144.49,8,0,12,0,12,5,24,1,0.025
NA_APIA_00058.mol,NAF,0,0,0,0,0,9,1,-2,342.345,6.236,581.153,298.63,245.295,37.228,0,1033.833,4,11,0.0376166,0.0378557,0.8508267,29.797,10.731,22.012,17.747,-0.492,-2.183,-2.389,-4.123,46.748,-2.238,18.052,-5.045,8.896,0.384,7,-0.802,2,53.953,0,0,143.835,8,0,12,0,12,5,24,1,0.02
NA_APIA_00058.mol,NAF,0,0,0,0,0,9,1,-2,342.345,5.941,578.037,301.84,242.881,33.315,0,1034.202,4,11,0.0341293,0.0380599,0.8556181,29.774,10.704,21.954,17.697,-0.468,-2.144,-2.389,-4.027,49.278,-2.191,19.11,-5.014,8.896,0.401,7,-0.793,2,54.5,0,0,144.908,8,0,12,0,12,5,24,1,0.024
NA_APIA_00059.mol,NAF,0,0,0,0,0,10,1,-2,328.361,3.367,581.345,285.408,210.642,85.295,0,1027.101,5,11.9,0.0110372,0.0457718,0.8468498,29.344,10.978,23.286,19.97,-0.626,-1.942,-1.88,-4.417,99.628,-1.997,40.899,-4.141,9.316,-0.161,8,-0.947,2,59.045,0,0,123.179,7,0,12,0,12,5,23,1,0.271
NA_APIA_00059.mol,NAF,0,0,0,0,0,10,1,-2,328.361,3.212,606.589,303.818,223.822,78.95,0,1057.67,5,11.9,0.0097533,0.0438669,0.8276314,30.507,11.282,23.671,20.077,-0.61,-2.23,-1.88,-4.698,74.714,-2.218,29.966,-4.406,9.133,-0.367,8,-0.941,2,56.903,0,0,123.231,7,0,12,0,12,5,23,1,0.076
NA_APIA_00060.mol,NAF,0,0,0,0,0,8,1,-2,270.282,4.853,527.234,151.201,171.718,204.315,0,882.649,4,10.2,0.0266781,0.0386925,0.844021,25.984,9.884,19.976,17.686,-0.346,-1.826,-1.505,-5.03,233.074,-1.526,102.491,-3.196,9.761,-0.138,5,-0.949,3,67.291,0,0,102.116,6,0,12,0,12,5,19,0,2.564
NA_APIA_00060.mol,NAF,0,0,0,0,0,8,1,-2,270.282,2.937,495.424,148.041,160.844,186.538,0,850.629,4,10.2,0.0101391,0.0411769,0.876358,24.533,9.523,19.247,17.415,-0.391,-1.472,-1.505,-4.422,295.538,-1.315,132.479,-3.059,9.539,-0.35,5,-0.934,3,68.878,0,0,100.316,6,0,12,0,12,5,19,0,7.964
NA_APIA_00064.mol,NAF,10,0,0,0,0,17,2,-2,626.524,9.771,745.5,148.293,452.056,145.151,0,1528.653,10,22.25,0.0624514,0.0943806,0.8608421,45.493,18.689,43.831,38.387,-3.339,-1.345,-3.783,-4.476,0.512,-4.528,0.137,-7.707,8.774,0.543,11,-1.372,1,0,0,0,290.651,17,3,28,0,28,10,44,2,0.001
NA_APIA_00064.mol,NAF,11,0,0,0,0,17,2,-2,626.524,10.923,837.918,202.19,433.869,201.859,0,1611.567,10,22.25,0.074037,0.0839708,0.7933458,49.353,19.953,45.063,38.872,-3.067,-2.056,-3.783,-5.839,0.761,-5.057,0.211,-7.172,8.989,0.723,11,-1.583,1,0,0,0,295.244,17,3,28,0,28,10,44,2,0
NA_APIA_00065.mol,NAF,10,0,0,0,0,16,2,-2,610.524,7.885,829.469,190.656,406.504,232.309,0,1596.623,9,21.5,0.0389373,0.0777606,0.7964645,49.688,19.596,42.797,36.89,-2.55,-2.232,-3.834,-5.933,1.384,-4.673,0.402,-6.657,9.008,0.604,10,-1.468,1,0,0,0,269.125,16,3,28,0,28,10,43,2,0.001
NA_APIA_00065.mol,NAF,10,0,0,0,0,16,2,-2,610.524,7.549,841.395,160.725,462.432,218.239,0,1606.183,9,21.5,0.0354842,0.0766584,0.7883062,49.936,20.03,43.052,37.203,-2.94,-2.348,-3.834,-5.998,0.408,-5.362,0.107,-7.737,9.08,0.635,10,-1.488,1,0,0,0,272.775,16,3,28,0,28,10,43,2,0
NA_APOC_000011.mol,NAF,0,0,0,0,0,5,1,-2,546.656,7.217,759.346,513.202,233.663,12.481,0,1508.02,4,12.35,0.0345363,0.032528,0.8375228,51.106,14.734,30.334,20.141,1.76,-4.971,-5.481,-4.221,60.266,-1.959,23.755,-5.302,10.244,0.563,6,0.152,2,56.151,0,0,159.878,9,1,30,0,30,24,39,0,0
NA_APOC_000014.mol,NAF,0,0,0,0,0,4,1,-2,601.754,8.109,817.087,536.776,194.796,54.001,31.513,1638.881,3,12.65,0.0401177,0.0268153,0.8227378,57.381,15.918,31.376,19.361,2.952,-6.039,-6.678,-4.658,140.814,-1.519,88.464,-4.535,9.151,0.542,6,0.431,2,69.727,0,0,146.299,9,1,34,0,34,25,42,1,0
NA_APOC_000017.mol,NAF,1,0,0,0,0,4,0,-2,406.518,9.967,609.293,360.685,226.137,22.471,0,1180.807,4,8.85,0.0841273,0.0290501,0.8867308,38.748,11.928,24.849,16.57,1.239,-3.776,-3.998,-3.472,71.031,-1.595,28.373,-5.224,10.552,0.525,6,0.03,3,67.337,0,0,124.118,6,0,22,0,22,18,29,0,0
NA_APOC_000018.mol,NAF,0,0,0,0,0,5,1,-2,560.683,10.762,792.611,587.705,190.773,14.133,0,1571.458,3,12.35,0.0736959,0.0269878,0.8247204,53.66,14.805,30.073,18.476,2.527,-5.45,-5.813,-4.436,153.744,-1.608,65.37,-4.506,10.291,0.545,5,0.28,3,67.92,0,0,144.883,9,1,30,0,30,24,40,0,0
NA_APOC_000019.mol,NAF,0,0,0,0,0,5,0,-2,406.518,8.131,606.566,378.482,209.679,18.405,0,1172.343,4,8.85,0.0563944,0.0291807,0.8864551,37.728,11.708,23.986,16.203,1.299,-3.574,-3.998,-3.457,101.745,-1.517,41.84,-4.839,10.302,0.289,6,-0.032,3,70.48,0,0,119.626,6,0,22,0,22,18,29,0,0.002
NA_APOC_000020.mol,NAF,0,0,0,0,0,4,0,-2,404.502,4.594,604.22,367.58,211.442,25.198,0,1171.854,3,9.15,0.018012,0.0262293,0.8896493,38.416,11.546,22.472,15.307,1.314,-3.642,-3.915,-3.438,97.902,-1.459,40.134,-4.944,10.385,0.687,5,-0.014,3,70.272,0,0,128.105,6,0,22,0,22,18,29,0,0.001
NA_APOC_000021.mol,NAF,7,0,0,0,0,15,2,-2,674.824,7.144,988.54,714.451,274.09,0,0,1948.156,8,21.15,0.0261977,0.0605147,0.7631089,62.18,20.169,44.321,33.203,0.093,-4.27,-4.11,-5.365,24.929,-3.478,9.149,-5.131,10.501,-1.817,8,-0.874,2,13.613,0,0,196.231,13,3,29,0,29,27,47,1,0
NA_APOC_000021.mol,NAF,6,0,0,0,0,15,2,-2,674.824,8.312,987.16,726.609,260.551,0,0,1943.199,8,21.15,0.0355525,0.0605993,0.7628788,61.981,20.033,44.309,33.108,0.158,-4.252,-4.11,-5.369,33.504,-3.325,12.594,-4.881,10.333,-1.475,8,-0.885,2,16.293,0,0,198.384,13,3,29,0,29,27,47,1,0
